epoch,train_loss,train_recon,train_kl,val_loss
1,0.04973868612725306,0.04742167621693986,0.0231700994339581,0.021858797307747105
2,0.02672050672023281,0.021692912729767963,0.05027593899294855,0.015030901599675416
3,0.017217676360552565,0.012185745025763056,0.050319312173553184,0.01224350801591451
4,0.013694553039786882,0.008894694259622688,0.04799858660013015,0.010726802633143961
5,0.012529021787126601,0.007775040917744561,0.04753980762664851,0.010057413725492854
6,0.012051043081032399,0.007296671125603118,0.047543718529385146,0.009740556974429637
7,0.01177314475384002,0.006966275227145931,0.04806869435373156,0.009368381105984251
8,0.01162092324128945,0.006762469058322027,0.04858454085004967,0.009029020454424124
9,0.011462695422662329,0.006598424215120304,0.048642711022588,0.009692991070915013
10,0.011366323842644402,0.006474806281860247,0.04891517490897225,0.008801376555735867
11,0.011307034495088908,0.006381069448122957,0.04925964958060116,0.008978158879714707
12,0.011198541087610118,0.006272567107041806,0.04925973887285112,0.008737824760222187
13,0.011130505760699945,0.006185430617145651,0.049450750144219666,0.008948980931503077
14,0.011042160943536937,0.0060906304013304035,0.0495153042145158,0.008501409304638703
15,0.010977929258776446,0.005999998781208184,0.049779303848888345,0.008750746635875354
16,0.010944036119338276,0.005953593590905108,0.04990442432885812,0.008960853532577555
17,0.010870774042591864,0.005896635753188638,0.04974138193327565,0.008469482115469874
18,0.010817131860788483,0.005840897140873527,0.049762346055751104,0.008589731731141607
19,0.010837535708961553,0.005840406567462066,0.04997129022857745,0.008453779605527718
20,0.01077767906218429,0.00578847059389845,0.04989208403606469,0.008330447832122445
